,Unnamed: 0,publish_time,entry_date,username,video_title,tokenised_title,genre,words_in_names,min_views,max_views,exit_date,percentage_view_increase,sentiment,name_sentiment,emotion,sentiment_polarity,name_sentiment_polarity
10,10,2021-05-26T19:28:28Z,2021-05-28,Technoblade,I Became the Mayor of Skyblock,"['mayor', 'skyblock']",Youtuber,"['de', 'tech', 'lade', 'ad', 'lad', 'blad', 'ade', 'blade', 'nob', 'la', 'tec', 'te']",3272953,4782625,2021-05-30,0.4612568527565168,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
11,11,2021-05-26T18:33:29Z,2021-05-28,RuPaul's Drag Race,Meet the Queens of All Stars 6! | RuPaul&#39;s Drag Race,"['meet', 'queens', 'stars', 'rupauls', 'drag', 'race']",Youtuber,"['pa', 'race', 'ra', 'paul', 'drag', 'pau', 'rupa', 'ace', 'ce', 'rag']",1456173,1640303,2021-05-29,0.12644788771663806,-0.2942,-1.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",negative,negative
12,12,2021-05-27T11:30:05Z,2021-05-28,Sally Is a Dog,Letting my DOG pick my Warzone loadout,"['letting', 'dog', 'pick', 'warzone', 'loadout']",Youtuber,"['og', 'ally', 'sally', 'dog', 'al', 'sal', 'ly', 'sa']",424575,601924,2021-05-29,0.4177094741800624,0.0,2.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,positive
13,13,2021-05-23T15:50:44Z,2021-05-28,CarryMinati,THE LAND OF BIGG BOSS | CARRYMINATI,"['land', 'bigg', 'boss', 'carryminati']",Youtuber,"['car', 'carr', 'mina', 'na', 'ym', 'ati', 'ar', 'nat', 'ti', 'arry', 'min', 'carry', 'mi']",27281855,28540169,2021-05-30,0.04612274348646747,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
14,14,2021-05-27T15:00:14Z,2021-05-28,First We Feast,Jack Harlow Returns to the Studio to Eat Spicy Wings | Hot Ones,"['jack', 'harlow', 'returns', 'studio', 'eat', 'spicy', 'wings', 'hot', 'ones']",Youtuber,"['feast', 'fi', 'ea', 'fir', 'ast', 'st', 'fe', 'east']",568213,821438,2021-05-29,0.4456515426433397,0.0,0.0,"{'fear': 0.0, 'anger': 1.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
15,15,2021-05-24T15:00:07Z,2021-05-28,5-Minute Crafts LIKE,TRENDY TIKTOK PHONE CASE IDEAS | POP IT! | Creative DIYs and Crafts To Try!,"['trendy', 'tiktok', 'phone', 'case', 'ideas', 'pop', 'creative', 'diys', 'crafts', 'try']",Youtuber,"['ut', 'like', 'raft', 'li', 'ra', 'aft', 'nu', 'minute', 'ute', 'craft', 'min', 'nut', 'ike', 'te', 'mi']",5579371,8545150,2021-06-01,0.5315615326530535,0.5399,2.0,"{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.5, 'positive': 1.0, 'negative': 0.5, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.0}",positive,positive
16,17,2021-05-27T16:00:12Z,2021-05-28,Bailey Sarian,Dark History Podcast: Trailer,"['dark', 'history', 'podcast', 'trailer']",Youtuber,"['sari', 'ail', 'ba', 'ley', 'aria', 'ai', 'bailey', 'sar', 'ar', 'bail', 'ria', 'arian', 'aile', 'ian', 'sa', 'ey']",562112,834606,2021-05-30,0.4847681600819765,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 1.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
17,18,2021-05-26T17:03:18Z,2021-05-28,WadZee,I Transformed the OVERWORLD into the END in Minecraft Hardcore (#43),"['transformed', 'overworld', 'end', 'minecraft', 'hardcore']",Youtuber,"['wad', 'ad', 'adze', 'zee', 'wa', 'adz']",2154014,2501300,2021-05-30,0.16122736435324933,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
18,19,2021-05-27T14:59:42Z,2021-05-28,Universal Pictures,Old - Official Trailer [HD],"['old', 'official', 'trailer', 'hd']",Trailer,"['universal', 'tu', 'un', 'pic', 'ur', 'pict', 'sa', 'ni', 'ure', 'tur', 'picture', 'sal', 'ers', 'al', 'es', 'pi', 'er', 'versal']",1296456,3166699,2021-05-30,1.4425811597154088,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
19,20,2021-05-26T03:29:39Z,2021-05-28,Rachit Rojha,LOCKDOWN WITH COUSIN || Rachit Rojha,"['lockdown', 'cousin', 'rachit', 'rojha']",Youtuber,"['rach', 'ra', 'ha', 'chit', 'ro', 'ach', 'hi', 'hit', 'chi']",3721174,5521445,2021-05-31,0.483791136883145,0.0,2.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,positive
20,21,2021-05-27T17:00:09Z,2021-05-28,Grian,Hermitcraft 7: Episode 77 - THE END,"['hermitcraft', 'episode', 'end']",Youtuber,"['ria', 'ian']",1460672,2079152,2021-05-30,0.4234215484379792,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
21,22,2021-05-27T05:54:42Z,2021-05-28,House of Highlights,Chuck On Russell Westbrook Popcorn Incident - Inside the NBA | 2021 NBA Playoffs,"['chuck', 'russell', 'westbrook', 'popcorn', 'incident', 'inside', 'nba', 'nba', 'playoffs']",Traditional Media,"['ho', 'li', 'se', 'light', 'use', 'house', 'highlight', 'high', 'hi']",789956,832394,2021-05-28,0.05372197945202011,0.0,2.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 1.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,positive
22,23,2021-05-27T21:39:12Z,2021-05-28,PlayStation,State of Play | Horizon Forbidden West Gameplay Reveal,"['state', 'play', 'horizon', 'forbidden', 'west', 'gameplay', 'reveal']",Commercial,"['tat', 'ion', 'st', 'ati', 'lay', 'io', 'ti', 'ay', 'station', 'play', 'la', 'ta']",2515645,2600248,2021-05-29,0.03363073883636205,-0.1027,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.5}",negative,neutral
23,24,2021-05-25T13:59:34Z,2021-05-28,Kurzgesagt – In a Nutshell,What Are You Doing With Your Life? The Tail End,"['life', 'tail', 'end']",Youtuber,"['hell', 'nut', 'ur', 'sa', 'ge', 'nu', 'sh', 'shell', 'ges', 'shel', 'sag', 'nutshell', 'ut', 'el', 'es', 'ell']",3598912,3895399,2021-05-29,0.0823823977913325,0.0,-4.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,negative
24,26,2021-05-26T21:00:07Z,2021-05-28,OfflineTV,LUDWIG SUES OFFLINETV,"['ludwig', 'sues', 'offlinetv']",Youtuber,"['li', 'line', 'net', 'ne', 'lin', 'linet']",1426718,1794700,2021-05-30,0.25792202803917796,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
25,27,2021-05-19T16:47:18Z,2021-05-28,HBO Max,Friends: The Reunion | Official Trailer | HBO Max,"['friends', 'reunion', 'official', 'trailer', 'hbo', 'max']",Traditional Media,"['bo', 'max', 'ax', 'ma']",18549961,19268741,2021-06-01,0.038748329443927136,0.4767,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 0.3333333333333333, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.3333333333333333}",positive,neutral
26,28,2021-05-23T21:00:31Z,2021-05-28,Tottenham Hotspur,Gareth Bale brace secures dramatic comeback on final day of 20/21 season! | Leicester 2-4 Spurs,"['gareth', 'bale', 'brace', 'secures', 'dramatic', 'comeback', 'final', 'day', 'season', 'leicester', 'spurs']",Youtuber,"['ho', 'ur', 'hot', 'ha', 'hotspur', 'tot', 'en', 'ham', 'spur', 'pur', 'te', 'pu']",2070675,2157652,2021-06-01,0.04200417738177165,0.3802,2.0,"{'fear': 0.5, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.5, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",positive,positive
27,29,2021-05-26T18:55:55Z,2021-05-28,Roman Atwood Vlogs,THIS IS IMPOSSIBLE!!,['impossible'],Youtuber,"['om', 'woo', 'lo', 'og', 'roman', 'atwo', 'ma', 'ro', 'man', 'log', 'od', 'wood', 'oman', 'wo']",720968,801529,2021-05-29,0.11174004948902032,0.0,3.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.5, 'sadness': 0.5, 'disgust': 0.0, 'joy': 0.0}",neutral,positive
28,32,2021-05-26T06:15:28Z,2021-05-28,marveleastereggs,Did you know this about the Guardians Of The Galaxy?,"['know', 'guardians', 'galaxy']",Youtuber,"['ast', 'st', 'east', 'arvel', 'reg', 'aster', 'marvel', 'ar', 'ma', 'mar', 'te', 'ere', 'stere', 'el', 'ea', 'egg', 'lea', 'er', 'easter']",1632254,3427770,2021-05-29,1.1000224229807372,0.0,3.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,positive
29,34,2021-05-27T01:00:06Z,2021-05-28,Nino Freestyle,Nino Freestyle x Tokischa - MALA (Video Oficial),"['nino', 'freestyle', 'x', 'tokischa', 'mala', 'video', 'oficial']",Music,"['rees', 'es', 'ree', 'st', 'style', 'ino', 'reesty', 'free', 'sty', 'reest', 'ni']",613915,1078369,2021-05-30,0.7565444727690316,0.1779,1.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",positive,positive
30,35,2021-05-25T21:36:36Z,2021-05-28,New Rockstars,ETERNALS TRAILER BREAKDOWN! Easter Eggs and Details You Missed!,"['eternals', 'trailer', 'breakdown', 'easter', 'eggs', 'details', 'missed']",Traditional Media,"['tars', 'tar', 'new', 'ock', 'ne', 'st', 'ar', 'roc', 'ro', 'rock', 'star', 'ta']",1120746,1257522,2021-05-29,0.12204014112028952,-0.4184,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 1.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",negative,neutral
31,36,2021-05-23T21:00:06Z,2021-05-28,Man City,AGUERO FAIRYTALE AT THE ETIHAD | Man City 5-0 Everton Highlights,"['aguero', 'fairytale', 'etihad', 'man', 'city', 'everton', 'highlights']",Traditional Media,"['cit', 'city', 'ma', 'man']",2647172,2777540,2021-06-01,0.04924802770654872,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
32,38,2021-05-23T03:30:17Z,2021-05-28,Aditya Movies,"Voter New Hindi Dubbed Full Movie (2021) | Latest Hindi Dubbed Movie | Vishnu Manchu , Surabhi","['voter', 'new', 'hindi', 'dubbed', 'movie', 'latest', 'hindi', 'dubbed', 'movie', 'vishnu', 'manchu', 'surabhi']",Traditional Media,"['ya', 'di', 'es', 'movie', 'dit', 'ad', 'vie', 'adit', 'mo', 'ie']",20343253,27247616,2021-05-30,0.33939326222802224,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
33,39,2021-05-26T16:55:19Z,2021-05-28,RealLifeLore,What Happens If Yellowstone Blows Up Tomorrow?,"['happens', 'yellowstone', 'blows', 'tomorrow']",Youtuber,"['el', 'lo', 'li', 'ea', 'real', 'rea', 'fe', 'al', 'lif', 'ore', 'lore', 'life', 'ife']",866143,1051274,2021-05-29,0.2137418417051226,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 1.0}",neutral,neutral
34,40,2021-05-21T06:45:01Z,2021-05-28,5-Minute Crafts LIKE,PARENTING SURVIVAL GUIDE | Visiting A Doctor For The First Time,"['parenting', 'survival', 'guide', 'visiting', 'doctor', 'time']",Youtuber,"['ut', 'like', 'raft', 'li', 'ra', 'aft', 'nu', 'minute', 'ute', 'craft', 'min', 'nut', 'ike', 'te', 'mi']",9029110,9426562,2021-05-29,0.04401895646414763,0.0,2.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.5, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 1.0}",neutral,positive
35,41,2021-05-21T12:00:22Z,2021-05-28,Anne-Marie,Anne-Marie &amp; Niall Horan - Our Song [Official Video],"['annemarie', 'niall', 'horan', 'song', 'official', 'video']",Music,"['ne', 'anne', 'ar', 'ma', 'marie', 'mar', 'mari', 'ie', 'rie', 'ann']",8667431,9811862,2021-05-30,0.1320380860257209,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
36,42,2021-05-26T09:19:19Z,2021-05-28,SmallAnt,Mario Odyssey but you lose 1 Coin every second. Game Over at 0.,"['mario', 'odyssey', 'lose', 'coin', 'second', 'game']",Youtuber,"['mall', 'lan', 'mal', 'allan', 'ma', 'ant', 'al', 'small', 'sma', 'la', 'lant']",803760,926570,2021-05-29,0.15279436647755548,-0.5499,0.0,"{'fear': 0.16666666666666666, 'anger': 0.16666666666666666, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.16666666666666666, 'positive': 0.0, 'negative': 0.16666666666666666, 'sadness': 0.16666666666666666, 'disgust': 0.16666666666666666, 'joy': 0.0}",negative,neutral
37,43,2021-05-24T01:57:45Z,2021-05-28,Ligue 1 Uber Eats Official,ANGERS SCO - LOSC LILLE (1 - 2) - Highlights - (SCO - LOSC) / 2020-2021,"['angers', 'sco', 'losc', 'lille', 'highlights', 'sco', 'losc']",Traditional Media,"['gue', 'fi', 'li', 'official', 'ea', 'eat', 'er', 'al', 'ber', 'eats']",1165207,1176824,2021-05-29,0.009969902343532093,-0.6166,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",negative,neutral
38,44,2021-05-18T20:34:52Z,2021-05-28,Mark Rober,Backyard Squirrel Maze 2.0- The Walnut Heist,"['backyard', 'squirrel', 'maze', 'walnut', 'heist']",Youtuber,"['robe', 'rob', 'ar', 'er', 'ro', 'ma', 'obe', 'mar', 'ber', 'ark', 'rober', 'mark']",24665785,26353637,2021-06-01,0.06842887830247446,0.0,-2.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,negative
39,46,2021-05-27T22:00:16Z,2021-05-28,GIMS,GIMS - ONLY YOU feat. Dhurata Dora (Audio Officiel),"['gims', 'feat', 'dhurata', 'dora', 'audio', 'officiel']",Youtuber,"['gim', 'gi']",141814,260031,2021-05-28,0.8336059909458868,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.25, 'positive': 0.25, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.25, 'anticipation': 0.25}",neutral,neutral
40,48,2021-05-16T19:34:39Z,2021-05-28,Liverpool FC,Highlights: West Brom 1-2 Liverpool | ALISSON heads the winner in injury time!,"['highlights', 'west', 'brom', 'liverpool', 'alisson', 'heads', 'winner', 'injury', 'time']",Traditional Media,"['liver', 'li', 'pool', 'live', 'po', 'er', 'liv']",9110864,9168367,2021-06-01,0.006311476057594538,0.3164,0.0,"{'fear': 0.25, 'anger': 0.25, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.25, 'positive': 0.25, 'negative': 0.25, 'sadness': 0.25, 'disgust': 0.0, 'joy': 0.25, 'anticipation': 1.0}",positive,neutral
41,49,2021-05-21T14:00:03Z,2021-05-28,Tea Tairovic,TEA TAIROVIC -  HAJDE (OFFICIAL VIDE0 2021),"['tea', 'tairovic', 'hajde', 'official', 'vide']",Traditional Media,"['ta', 'tea', 'ea', 'ai', 'tai', 'vic', 'air', 'ro', 'te']",3174199,12108999,2021-06-17,2.8148203688552607,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
42,50,2021-05-28T04:00:51Z,2021-05-28,Juice WRLD,Juice WRLD ft. Lil Uzi Vert - Lucid Dreams (Remix) (Official Visualizer),"['juice', 'wrld', 'ft', 'lil', 'uzi', 'vert', 'lucid', 'dreams', 'remix', 'official', 'visualizer']",Music,"['ju', 'ice', 'ce', 'juice']",1919122,6642537,2021-06-01,2.461237482557128,0.4019,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",positive,neutral
43,51,2021-05-28T04:00:12Z,2021-05-28,EminemVEVO,"Eminem - Killer (Remix) [Official Audio] ft. Jack Harlow, Cordae","['eminem', 'killer', 'remix', 'official', 'audio', 'ft', 'jack', 'harlow', 'cordae']",Music,"['em', 'ne', 'min', 'mi']",1186153,3637019,2021-06-01,2.0662309162477355,-0.6486,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",negative,neutral
44,52,2021-05-28T20:03:51Z,2021-05-28,Zeus and Who?,Stay Flee Get Lizzy feat. Fredo &amp; Central Cee - Meant To Be (Official Video),"['stay', 'flee', 'lizzy', 'feat', 'fredo', 'central', 'cee', 'meant', 'official', 'video']",Music,"['ho', 'eu', 'zeus']",812895,992541,2021-05-29,0.22099533150037828,0.0,0.0,"{'fear': 0.5, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.25, 'positive': 0.25, 'negative': 0.5, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.25, 'anticipation': 0.25}",neutral,neutral
